siteID,stationID,procID,startDate,endDate,project_filepath
EB,EasterBush,CO2_H2O,01/01/1995 00:00,31/12/2006 23:59,/gws/nopw/j04/eddystore/stations/EasterBush/projects/EB_1995.eddypro
EB,EasterBush,CO2_H2O,01/01/2007 00:00,31/12/2012 23:59,/gws/nopw/j04/eddystore/stations/EasterBush/projects/EB_2007.eddypro
EB,EasterBush,CO2_H2O,01/01/2013 00:00,01/01/2020 12:00,/gws/nopw/j04/eddystore/stations/EasterBush/projects/EB_2013.eddypro
EB,EB_n2o,N2O_H2O,01/01/2016 00:00,01/01/2020 12:00,/gws/nopw/j04/eddystore/stations/EB_n2o/projects/N2O_EB_2012.eddypro
EB,EB_n2o,N2O_H2O,01/01/2016 00:00,01/01/2020 12:00,/gws/nopw/j04/eddystore/stations/EB_n2o/projects/N2O_EB_2012.eddypro
EB,EB_n2o,N2O_H2O,01/01/2016 00:00,01/01/2020 12:00,/gws/nopw/j04/eddystore/stations/EB_n2o/projects/N2O_EB_2012.eddypro
EB,EB_n2o,N2O_H2O,01/01/2016 00:00,01/01/2020 12:00,/gws/nopw/j04/eddystore/stations/EB_n2o/projects/N2O_EB_2012.eddypro
WH,Whim,CO2_CH4_H2O,01/01/1995 00:00,31/12/2006 23:59,/gws/nopw/j04/eddystore/stations/Whim/projects/processing_1995.eddypro
WH,Whim,CO2_CH4_H2O,01/01/2007 00:00,31/12/2012 23:59,/gws/nopw/j04/eddystore/stations/Whim/projects/processing_2007.eddypro
WH,Whim,CO2_CH4_H2O,01/01/2013 00:00,01/01/2020 12:00,/gws/nopw/j04/eddystore/stations/Whim/projects/processing_2013.eddypro
EB_jasmin,EasterBush_Ndrive,CO2_H2O,01/01/1995 00:00,31/12/2006 23:59,N:/0Peter/curr/ECsystem/eddypro/EB_1995.eddypro
EB_jasmin,EasterBush_Ndrive,CO2_H2O,01/01/2007 00:00,31/12/2012 23:59,N:/0Peter/curr/ECsystem/eddypro/EB_2007.eddypro
EB_jasmin,EasterBush_Ndrive,CO2_H2O,01/01/2013 00:00,01/01/2020 12:00,N:/0Peter/curr/ECsystem/eddypro/EB_2013.eddypro
EB_jasmin,EasterBush_Ndrive,N2O_H2O,01/01/2016 00:00,01/01/2020 12:00,N:/0Peter/curr/ECsystem/eddypro/N2O_EB_2012.eddypro
Balmoral,Balmoral,CO2_H2O,03/07/2018 00:00,31/12/2019 00:00,/gws/nopw/j04/eddystore/stations/Balmoral/projects/Balmoral.eddypro
LL,Lonielist_Forsinard,CO2_CH4_H2O,08/07/2014 00:30,01/01/2022 00:00,/gws/nopw/j04/eddystore/stations/Lonielist_Forsinard/projects/Lonielist.eddypro
DK,Dyke_Forsinard,CO2_H2O,11/05/2016 00:00,18/10/2017 20:00,/gws/nopw/j04/eddystore/stations/Dyke_Forsinard/projects/Dyke_forested.eddypro
DK,Dyke_Forsinard,CO2_H2O,17/08/2018 13:00,01/01/2022 00:00,/gws/nopw/j04/eddystore/stations/Dyke_Forsinard/projects/Dyke_restored2018.eddypro
DK,Dyke,CO2_H2O,11/05/2016 00:00,01/05/2018 00:00,/gws/nopw/j04/eddystore/stations/Dyke/projects/Dyke_forested.eddypro
DK,Dyke,CO2_H2O,01/05/2018 00:30,31/12/2019 00:00,/gws/nopw/j04/eddystore/stations/Dyke/projects/Dyke_harvested.eddypro
AM,Auch_icos,CO2_H2O,07/06/2018 12:00,30/06/2019 23:30,/gws/nopw/j04/eddystore/stations/Auch_icos/projects/ICOS_UK-AMo.eddypro
AM,Auch_icos,CO2_H2O,01/07/2019 15:00,31/12/2019 00:00,/gws/nopw/j04/eddystore/stations/Auch_icos/projects/UK-AMo_ICOS_20190701.eddypro
UK-AMO,GP,Li7000,01/01/1995 00:00,31/12/2006 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/processing_1995.eddypro
UK-AMO,GP,Li7000,01/01/2007 00:00,31/12/2012 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/processing_2007.eddypro
UK-AMO,GP,Li7000,01/01/2013 00:00,31/12/2018 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/processing_2013.eddypro
UK-AMO,GP,Li7000,01/01/2019 00:00,01/01/2020 00:00,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/AMo_ASCII_2019_no_Picarro_V1.eddypro
UK-AMO,GP,Li7000,22/06/2021 14:11,31/12/2021 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2021_06_22.eddypro
UK-AMO,GP,Li7000,01/01/2022 00:00,08/09/2022 13:12,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2022_01_01.eddypro
